Song.name,Artist.name,Song_popularity,Artist_popularity,Duration,Bars_confidence,Bars_start,Beats_confidence,Beats_start,End_of_fade_in,Familiarity,Key,Key_confidence,Loudness,Mode,Mode_confidence,Start_of_fade_out,Tatums_confidence,Tatums_start,Tempo,Terms_freq,Time_signature,Time_signature_confidence,Genre
Chaos (Live - Bridgehouse Tapes),4 Skins,0.482138,0.353533,210.07628,0.016,0.65945,0.739,0.23612,0.183,0.507109,8,0.236,-5.061,1,0.443,196.737,0.589,0.23612,141.63,0.995165,4,0.031,rock
New War,4 Skins,0.472121,0.543954,363.36281,0.005,0.63616,0.588,0.27217,0,0.64572,2,0.434,-63.933358,-7.856,1,0.462,363.363,0.318,0.27217,163.692,0.998935,4,rock
A Part Of Me,40 Grit,0.342908,0.612067,230.55628,0.001,0.94888,0.915,0.27225,0.223,0.889461,10,0.852,-4.883,1,0.576,224.386,0.752,0.10455,87.992,0.999155,4,0.152,hip-hop
Intro,40 Grit,0.239146,0.409779,249.93914,0.061,0.44535,0.83,0.03989,0.174,0.511663,3,0.641,25.62326,-15.506,1,0.498,242.19,0.614,0.03989,143.869,0.915417,4,classical
Consumers (Album Version),45 Grave,0.40032,0.325824,229.90322,0.038,1.36596,0,0.37688,0,0.547951,2,0.836,-11.724,1,0.589,220.851,0,0.12961,121.437,1,4,1,country
Party Time,45 Grave,0.342908,0.405597,130.71628,0.045,0.9062,0.563,0.47634,0.13,0.389312,4,0.051,-4.689,0,0.502,122.99,0.261,0.27198,143.126,1,4,1,pop
Surf Bat (Album Version),45 Grave,0.342908,0.23599,247.66649,0.001,0.58626,0.774,0.07341,0.427,0.255585,2,0.491,-9.305,1,0.667,238.974,0.787,0.07341,116.024,1,4,0.735,classical
Freedom,4Him,0.342908,0.440835,196.93669,0.07,0.87432,0.996,0.34101,0.273,0.648903,0,0.632,-7.445,1,0.569,191.983,0.791,0.34101,229.221,1,4,0.862,folk
He Never Changes,4Him,0.509641,0.372119,222.32771,0.629,1.75416,0.934,0.37836,0.328,0.508636,9,0.483,-63.933358,-6.611,1,0.472,210.088,0.301,0.37836,88.024,0.998367,4,rock
Strange Way To Save The World,4Him,0.896789,0.519965,201.58649,0.613,0.69275,0.868,0.36478,0.142,0.873239,7,0.663,-63.933358,-2.87,0,0.639,197.097,0.524,0.2012,182.977,0.99968,4,rock
Wings,4Him,0.342908,0.305663,111.0722,0.399,6.13784,0.81,0.70285,0.555,0.384564,6,0.103,-13.826,1,0.476,105.982,0.19,0.70285,82.422,0.99712,4,0.377,classical
You Are Holy,4Him,0.342908,0.394108,278.12526,0.058,0.5491,0.763,0.04737,0,0.698977,5,0.188,-5.865,0,0.357,271.168,1,0.04737,121.004,1,4,0.818,blues
If You Don't Pray For Me,5 Blind Boys Of Alabama,0.40032,0.3106,179.93098,0.025,3.43628,0.937,2.83169,3.094,0.516874,2,0.396,-16.334,1,0.568,173.105,0.273,2.83169,100.018,0.933032,4,0,pop
In Da House Skit,50 Cent,0.40032,0.389536,484.62322,0.192,0.99423,0.63,0.46248,0.357,0.602556,7,0.275,-9.09,1,0.462,478.557,0.256,0.28668,115.091,0.906284,5,0.586,blues
U Not Like Me,50 Cent,0.507669,0.388325,218.04363,0.146,0.76977,0.829,0.41388,0.341,0.62289,1,0.68,-11.689,1,0.691,195.245,0.829,0.41388,169.105,1,3,1,blues
Outta Control,50 Cent / Mobb Deep,0.405116,0.407888,254.56281,0.167,0.72705,0.17,0.33496,0,0.558476,7,0.817,-118.24802,-5.208,1,0.683,254.563,0.17,0.33496,150.013,1,4,blues
Ghetto Curse Words (Chopped&Screwed),5th Ward Boyz,0.40032,0.418895,19.12118,0.592,1.00209,0.592,1.00209,0.299,0.701261,5,0,-63.933358,-18.83,1,0,19.121,0.843,0.07443,45.554,1,1,hip-hop
Ho Shit (Chopped&Screwed),5th Ward Boyz,0.40032,0.413885,27.89832,0.456,0.35643,0.933,0.35643,0.136,0.63925,9,0.008,-3.959,0,0.291,27.898,0.322,0.14747,137.645,1,3,0,rock
Studio Gangster,5th Ward Boyz,0.40032,0.420114,183.87546,0.04,0.8617,0.838,0.21426,0.141,0.529788,10,0.032,-63.933358,-17.087,0,0.114,176.327,0.871,0.21426,95.073,0.90657,4,blues
Undercover Gangstas,5th Ward Boyz,0.342908,0.398994,297.76934,0.426,1.58025,0.318,0.7421,4,0.528866,0,0.276,-9.911,1,0.488,297.769,0.18,0.53256,140.173,1,4,0.441,classical
Across The Universe,6CycleMind,0.40032,0.405597,208.45669,0.011,0.63577,0,0.31881,1.228,0.518077,4,0.23,-5.641,0,0.308,205.671,0.321,0.16541,191.956,1,4,1,blues
Talkin' Bout A Revolution,6CycleMind,0.40032,0.308144,246.17751,0.017,1.01499,0.841,0.3917,0.464,0.56582,1,0.498,-8.613,1,0.316,234.522,0.52,0.07847,96.904,1,4,0.588,rock
Pimpin' Don't Fail Me Now [Featuring bluese Pha and Juvenile] (Explicit Album Version),8Ball & MJG,0.342908,0.298743,244.50567,0.042,1.84742,0.532,0.64686,4.516,0.467531,2,0.389,-3.70577,-4.824,1,0.479,234.313,0.155,0.49698,100.518,0.846514,4,pop
Rafaniello,99 Posse,0.342908,0.269496,174.34077,0.025,0.25774,1,0.25774,0.062,0.387831,0,0.127,-96.7954,-10.362,1,0.471,164.177,0,0.25774,113.082,1,4,blues
Salario Garantito (Versione Strumentale),99 Posse,0.40032,0.430474,263.00036,0.691,1.25048,0,0.43771,3.576,0.531914,1,0.339,-5.402,0,0.47,249.678,0.111,0.23323,145.893,1,4,0.766,pop
Saved,9th Wonder,0.342908,0.2567,208.87465,0.866,0.23566,0.784,0.23566,0.701,0.322667,5,0.475,-15.086,0,0.377,203.314,0.352,0.23566,111.927,0.921433,4,0.071,pop
Almost Genuine,9th Wonder featuring Defcon_ Phonte,0.260784,0.328073,281.88689,0.897,0.38726,0.241,0.38726,0,0.494074,4,0.625,-8.672,1,0.288,274.721,0,0.38726,92.881,0.935703,4,0.941,rock
Heiliges Feuer,A Challenge Of Honour,0.342908,0.328377,227.73506,0.009,1.12269,0.545,0.3265,0,0.562179,11,0.002,-7.834,0,0,225.721,0.974,0.3265,151.401,1,4,0.671,pop
The Plot To Bomb The Panhandle (Album Version),A Day To Remember,0.565451,0.404158,268.87791,0.336,0.95239,0.477,0.57843,2.287,0.541918,0,0.31,-14.498,1,0.483,250.584,0.11,0.57843,162.296,0.992023,4,0.159,country
The Cleansing Apparatus,A Different Breed of Killer,0.40032,0.294987,264.04526,0.074,0.18905,0.92,0.18905,0.144,0.44277,11,0.579,-12.88,0,0.511,248.709,0.884,0.18905,174.271,0.833323,4,0,rock
Need Not,A Ghost Devotion,0.342908,0.344721,201.63873,0.006,0.79013,0.995,0.21509,0.295,0.464994,10,0.604,-92.01705,-14.586,1,0.664,179.096,0.505,0.21509,105.966,1,4,blues
In Hell (Album Version),A Perfect Murder,0.601471,0.438779,326.922,0.036,4.51533,0,3.93958,5.05,0.645426,9,0.045,1.14378,-7.272,1,0.262,315.611,0.235,3.79636,104.98,0.928765,4,folk
Within (Album Version),A Perfect Murder,0.342908,0.333109,641.48853,0.103,8.63647,0.031,6.48742,7.059,0.407997,0,0.426,-25.895,0,0.483,588.295,0.031,6.48742,170.899,1,7,0.621,classical
Ability To Create A War,A Skylit Drive,0.342908,0.542175,187.03628,0.091,0.75592,0.582,0.27159,0.13,0.772293,2,0.396,-63.933358,-5.252,1,0.37,183.211,0.384,0.27159,114.318,1,3,blues
God Bless You (Goddamn it),A Static Lullaby,0.249066,0.410842,36.20526,0.765,0.64672,0.765,0.64672,0.206,0.468251,5,0.093,-19.65,1,0.343,36.205,0.942,0.27469,84.212,0.990682,1,0.904,bass
Rattlesnake!,A Static Lullaby,0.239629,0.281684,183.48363,0.128,2.65064,0.151,0.51198,0.125,0.498057,11,0.574,-8.794,0,0.568,173.552,1,0.16246,112.006,1,5,0.269,folk
The Everlasting Gaze (A Static Lullaby),A Static Lullaby,0.405116,0.375224,195.91791,0.005,0.46991,0.11,0.46991,4.174,0.560202,10,0.318,-6.214,1,0.389,189.933,0.196,0.46991,145.147,1,4,0.48,punk
Get A Hold,A Tribe Called Quest,0.547953,0.39258,175.38567,0.007,1.22858,0,0.27136,2.316,0.558916,7,0.517,-90.19951,-6.754,1,0.542,160.723,0.485,0.03527,124.826,1,4,blues
Like It Like That,A Tribe Called Quest,0.40032,0.345285,278.83057,0.507,0.44285,0.507,0.44285,0.148,0.317391,7,0.037,-15.782,1,0.506,262.983,0.645,0.21423,90.556,1,1,0.371,classical
Scenario,A Tribe Called Quest,0.342908,0.288315,565.96853,0,0,0,0,0,0.336548,11,0,-11.531,0,0.149,531.992,0,0,123.197014,0.952505,3,1,pop
The Doug McComb Over,A Tundra,0.342908,0.405597,28.96934,0.276,1.08443,0.542,0.42816,0,0.021493,4,0,-9.86,1,0,28.969,1,0.42816,93.065,1,4,1,hip-hop
Sosa (Explicit),A.Z.,0.270776,0.414781,288.62649,0.596,1.19057,0.596,1.19057,0,0.558008,1,0.752,-17.549,1,0.561,286.169,0.474,0.25836,42.782,0.906785,1,0,hip-hop
We Can't Win (Explicit),A.Z.,0.342908,0.399639,248.99873,0.5,0.64464,0.788,0.22469,0,0.559359,9,0.034,-20.349,1,0.393,240.646,1,0.22469,143.028,0.865192,4,1,bass
Rollercoaster Ride,Aaron Watson,0.253835,0.31723,180.50567,0.108,0.68256,0.547,0.12652,0.259,0.42804,9,0.392,-94.58306,-14.794,0,0.453,173.697,0.547,0.12652,219.298,1,4,bass
Sweet Contradiction,Aaron Watson,0.342908,0.177855,129.01832,0.001,0.70963,0.617,0.33926,0.479,0.302858,9,0.84,-8.768,1,0.272,121.649,0.343,0.15407,160.451,1,4,0,pop
Thats What I Like About a Country Song,Aaron Watson,0.505487,0.515325,208.92689,0.121,0.64292,0.607,0.64292,0,0.858271,9,0,-73.9454,-6.61,1,0.12,203.697,0.736,0.33152,115.139,0.999846,5,hip-hop
Whiskey on the Fire,Aaron Watson,0.40032,0.305093,164.44036,0.32,0.49321,0.32,0.49321,0,0.548674,8,0.377,-17.124,0,0.485,158.79,0.278,0.26386,86.633,1,1,0.985,rock
Never After,Abbott & Chambers,0.40032,0.341061,226.66404,0.201,1.86755,0.879,0.5223,0,0.398859,9,0.046,-8.612,1,0.118,213.769,0.348,0.20181,95.243,1,4,0.377,classical
Where Are You,Abbott & Chambers,0.342908,0.32085,148.74077,0.024,0.50831,0.535,0.50831,0.421,0.391454,0,0.64,-7.551,1,0.727,143.383,0.886,0.2008,98.681,0.962662,3,0.948,blues
Where Are You,Abbott & Chambers,0.342908,0.317811,134.08608,0,0.14324,0,0.14324,4.441,0.138188,4,0.718,-12.839,0,0.674,130.38,0,0.14324,133.699,1,1,0,pop
Where Are You,Abbott & Chambers,0.580901,0.52904,173.37424,0.169,0.18605,0,0.18605,0,0.68956,9,0.468,-5.516,1,0.429,169.059,0.424,0.18605,201.333,0.990893,4,0,rock
Beyond the Light,Aberdeen,0.21508,0.212531,193.56689,0.057,0.06484,0.836,0.06484,0.485,0.380201,5,0.179,-14.175,1,0.3,189.701,0.67,0.06484,126.881,0.979973,4,0.778,blues
Children Of Love,Abijah,0.342908,0.310731,131.83955,0.537,0.45122,0.537,0.45122,0.347,0.411045,3,0.789,-111.54732,-10.112,1,0.517,125.376,0.717,0.09014,99.334,0.966321,1,rock
The Rock,Abijah,0.342908,0.405597,494.15791,0.226,0.06339,0.256,0.06339,0.108,0.297377,8,0.535,-16.708,1,0.659,480.56,0.256,0.06339,134.828,1,3,0.789,hip-hop
The Kid's Last Night (heaven is in the mountain),Abner Burnette,0.721573,0.403602,205.73995,0.007,1.03828,0.414,0.27044,0,0.588279,6,0.492,-5.673,1,0.566,182.364,0.685,0.07308,155.793,1,4,0.924,rock
Otra vez,Abracadabra,0.342908,0.417593,251.08853,0.942,0.67129,0.945,0.21028,0.392,0.480752,4,0.042,-12.538,0,0.014,242.602,0.547,0.21028,131.404,1,4,0.701,pop
Te estoy saboreando,Abracadabra,0.342908,0.360345,102.68689,0.054,1.12441,1,0.0835,0,0.612859,2,0.688,-74.00712,-14.447,0,0.691,99.573,1,0.0835,111.643,0.994149,4,classical
Exchange,Abraham Laboriel,0.232215,0.398406,167.00036,0.859,0.74271,0.859,0.74271,0.488,0.403218,7,0.861,-15.402,1,0.795,155.614,0.399,0.52656,138.425,0.928903,1,0,pop
Guidum,Abraham Laboriel,0.305993,0.362693,413.49179,0.171,0.56181,0.935,0.56181,0.125,0.447064,11,0.018,-5.366,0,0.339,397.781,0.921,0.09127,96.005,1,4,1,folk
Hello Hello,Abrar - Ul - Haq,0.467575,0.500691,366.28853,0.157,0.76733,0.854,0.31144,0.113,0.643183,9,0.572,-63.933358,-13.018,0,0.585,347.469,0,0.0835,131.948,0.961375,4,rock
Compulsory Resurrection,Abysmal Dawn,0.255078,0.516764,226.2722,0.094,0.55527,1,0.07062,0.276,0.75739,4,0.22,-63.933358,-9.344,1,0.336,219.028,0.833,0.07062,124.693,1,4,rock
Programmed to Consume,Abysmal Dawn,0.697182,0.370748,261.90322,0.001,0.9737,0.403,0.39931,0.212,0.533724,10,0.098,-6.206,0,0.243,257.62,0.662,0.11426,106.769,1,4,1,folk
Andante Cantabile (String Quartet No 1 In D Major,Academy/Marriner,0.342908,0.324334,220.39465,0.061,0.51545,0.198,0.12362,0.595,0.479621,0,0.632,-10.68641,-37.42475,-15.085,0,0.672,214.268,0.198,0.12362,152.282,1,blues
D Solo,Ace Da Vinci,0.342908,0.333771,221.90975,0.071,1.52601,0.281,1.52601,5.48,0.51066,9,0.606,-13.084,1,0.555,213.542,0.142,1.30954,138.102,0.960316,4,0.172,blues
Fractured Quantum,Ace Frehley,0.708408,0.54975,185.86077,0.039,1.01769,0,0.42402,0.091,0.82391,8,0.523,-63.933358,-3.242,1,0.593,178.84,0.63,0.12645,99.024,1,4,pop
Suicide,Aceyalone,0.342908,0.366821,127.03302,0.655,0.48302,0.655,0.48302,0.363,0.575692,9,0.914,-97.32925,-9.682,1,0.504,120.75,0.23,0.25531,136.089,1,1,rock
Chanson RA(c)aliste,Acorps de Rue,0.265861,0.396596,146.9122,0.114,0.26854,0,0.26854,0.194,0.55641,10,0.943,-72.67407,-13.254,1,0.771,140.167,0.836,0.26854,79.112,1,3,pop
The Queen's Treatment,Ada Jane,0.342908,0.342652,414.24934,0.052,0.12439,0.825,0.12439,0.288,0.50239,6,0.005,37.157357,-63.933358,-8.164,1,0,401.026,0.464,0.12439,106.821,0.915586,rap
Tu Me Desesperas,Adalberto Santiago,0.342908,0.364587,198.50404,0.1,0.85393,0.625,0.26795,0.29,0.473624,5,0.166,-16.274,1,0.277,192.772,0,0.26795,101.77,0.90204,5,0.722,blues
Friend Or Foe,Adam Ant,0.342908,0.405597,202.05669,0.034,1.18611,0.766,0.74633,0.589,0.044035,9,0.241,-10.415,1,0.411,194.02,0.092,0.74633,139.344,1,4,0,folk
Goody Two Shoes,Adam Ant,0.342908,0.306319,279.14404,0.289,0.94866,0.567,0.53592,0.438,0.440172,7,0.842,-11.49,1,0.766,264.377,0.477,0.53592,146.037,1,4,0.552,soundtrack
Manzenera,Adam Ant,0.437036,0.42978,262.37342,0.327,0.16372,1,0.16372,2.188,0.694983,10,0.544,-11.291,1,0.445,262.373,0.462,0.16372,129.047,1,4,0.651,pop
Mohair Locker Room Pin-Up Boys,Adam Ant,0.639248,0.394217,188.94322,0.367,0.52152,0.804,0.52152,0,0.665322,7,0.698,-7.549,1,0.715,183.542,0,0.22285,99.077,0.877629,4,1,hip-hop
Something Girls,Adam Ant,0.190656,0.259463,200.25424,0.031,1.64265,0.425,1.64265,0,0.433721,7,0.638,-18.095,1,0.526,193.747,0.425,1.64265,163.759,1,4,0.623,rock
From The Pain,Adam Richman,0.40032,0.405597,174.70649,0.836,0.45706,0.836,0.45706,0,0.233788,7,0.737,-10.274,1,0.653,174.706,1,0.45706,85.216,1,1,0,folk
Pic & Run,Adam Richmond,0.40032,0.563404,134.922,0.075,2.05212,0.542,0.33596,0,0.906619,7,0.278,-63.933358,-13.12,0,0.186,129.416,0.828,0.33596,80.473,0.999903,3,hip-hop
How I Miss You Tonight,Adolph Hofner,0.342908,0.456631,248.45016,0.112,1.24156,0.552,0.29671,0,0.675003,7,0,-7.836,1,0.223,233.906,0.598,0.29671,124.04,1,4,0.551,country
We Played A Game,Adolph Hofner,0.375984,0.439881,131.10812,0.401,0.56603,0,0.56603,2.711,0.582129,2,0.855,-15.001,1,0.768,116.576,0,0.23572,91.523,1,4,0.537,country
In The Name of the Father,Adr Lavey,0.253835,0.226516,208.1171,0.552,0.55087,0.552,0.55087,0.284,0.331226,2,0.447,-11.703,1,0.532,200.545,0.498,0.31634,103.829,1,1,0,blues
Anarchy in the UK (Sex Pistols) (Bonus Track),Adrenalin O.D.,0.483143,0.379762,304.71791,0.06,1.71621,0.542,0.21975,0.112,0.506774,3,0.525,-16.657,1,0.56,291.201,0.542,0.21975,206.978,1,7,0.779,blues
Playing the Role of God,Adrenaline,0.342908,0.334555,735.60771,0.056,0.17096,0.363,0.17096,11.633,0.528198,9,0.703,-7.662,1,0.405,725.589,0.366,0.17096,161.919,0.975404,7,0.418,pop
Laundry & Dishes,Adrienne Pierce,0.342908,0.433729,145.55383,0.049,0.13299,1,0.13299,0.259,0.710531,4,0.518,-63.933358,-5.603,1,0.501,136.661,0.568,0.13299,201.123,0.949383,4,punk
For Your Passion My Love,Aeoliah,0.342908,0.324431,324.51873,0.071,0.66029,0.809,0.1062,0.073,0.483243,5,0.75,-11.273,1,0.675,320.372,0.247,0.1062,210.305,0.969922,4,0.561,hip-hop
