id,song,artist,songpop,artistpop,Duration,Genre
6068,Laws Patrolling (Album Version),Mike Jones (Featuring CJ_ Mello & Lil' Bran),0.203915,0.232438,362.68363,pop
7858,A?DA3nde va Chichi?,Sierra Maestra,0.204429,0.150858,273.29261,folk
1397,"Barking Dogs (From ""Piouhgd"")",Butthole Surfers,0.204883,0.293011,348.36853,country
2352,OUTE ENA EFHARISTO,Despina Vandi,0.205175,0.252268,282.3571,classical
4152,Midnight Swim,Javier Navarrete,0.205921,0.195532,257.82812,blues
4011,In A Subtle Way,Jacob Young,0.206397,0.338104,228.80608,rock
7664,Spin,Scarlet's Remains,0.206551,0.290513,515.65669,hip-hop
9110,Burning In The Aftermath,The Suicide Machines,0.207762,0.405597,240.22159,rock
9040,Angie (1993 Digital Remaster),The Rolling Stones,0.208472,0.307084,201.82159,blues
7415,Sabor Guajiro,Roberto Torres,0.210012,0.405597,411.42812,folk
5496,Human Cannonball,Loudon Wainwright III,0.210317,0.405597,235.91138,hip-hop
7128,Glory Be,R.L. Burnside,0.210589,0.405597,222.24934,blues
674,Le tortillard,BA(c)zu,0.212045,0.399042,53.31546,blues
1028,Let's Get It Started,Black Eyed Peas,0.212045,0.448453,312.76363,pop
1224,Hourglass,Borialis,0.212045,0.27779,180.00934,blues
1236,On Bended Knee,Boyz II Men,0.212045,0.503152,221.12608,rock
1316,Rosemary Recalls,Bruce Rowland,0.212045,0.374378,396.77342,pop
1510,I Want You (Forever),Carl Cox Vs Yousef,0.212045,0.382546,234.57914,blues
1563,Nashville Parthenon,Casiotone For The Painfully Alone,0.212045,0.377904,219.61098,bass
1738,Driving Home For Christmas,Chris Rea,0.212045,0.405597,240.40444,classical
1791,President Johnson,Citizen Kaned,0.212045,0.440868,280.11057,blues
2490,Come Over,DJ X-Change featuring DJ Joey A,0.212045,0.448669,184.65914,rock
2558,Little Girl (LP Version),Donny Hathaway,0.212045,0.387114,216.21506,rock
2653,Cocain Ducks,Ec8or,0.212045,0.355708,168.77669,bass
2679,Now's The Time To Fall In Love,Eddie Cantor,0.212045,0.362903,126.53669,pop
2712,An ti chans',Edith Lefel,0.212045,0.426009,162.35057,pop
2772,The More I See You,Eliane Elias,0.212045,0.43486,287.92118,classical
2776,Spontanous Combustion,Ellen McIlwaine,0.212045,0.316725,221.64853,blues
2826,Opus a Satana (Part 2),Emperor,0.212045,0.36035,116.45342,folk
2921,Tous Les GarASSons Et Les Filles,Eurythmics,0.212045,0.333015,47.51628,classical
3092,Caricia Y Herida,Flor Silvestre,0.212045,0.399042,100.0224,blues
3149,Too Much Saturn,Francis Dunnery,0.212045,0.33109,145.31873,classical
3444,I'm Gone This Time,Glen Campbell,0.212045,0.351553,278.17751,folk
3652,Dixie,Hank Penny & The Lincoln Penny Orchestra,0.212045,0.3635,158.45832,hip-hop
3717,Wanna Be A Player,Heavy D / McGruff,0.212045,0.221883,465.99791,pop
3794,Thank You Lord,Horace Andy,0.212045,0.405597,220.1073,blues
3805,Candy Man,Hot Tuna,0.212045,0.405597,165.04118,rock
3816,My Four Reasons,Howard Armstrong,0.212045,0.365951,229.95546,rock
3908,Commercial Reign,Inspiral Carpets,0.212045,0.295333,540.49914,hip-hop
4477,Movement 4 [from Kiss] (Album Version),John Cale,0.212045,0.315919,124.682,classical
4507,I Can't Be Satisfied,John Hammond,0.212045,0.442286,159.45098,bass
4721,This Melody (Live),Julien Clerc,0.212045,0.36035,84.11383,folk
4764,Mangos,Kai Winding,0.212045,0.347007,156.21179,pop
4912,Wicker Chair,Kings Of Leon,0.212045,0.507962,229.66812,pop
5241,Niev nietch nievitch,Les Ogres De Barback,0.212045,0.359807,218.61832,rock
5249,It's My Party,Lesley Gore,0.212045,0.450547,269.84444,folk
5485,Certain Things We Do,Lost Boyz,0.212045,0.437965,404.45342,classical
5805,I Can't Stop Loving You,Martina McBride,0.212045,0.336646,221.962,blues
5863,Ma Louise,Maurice Chevalier,0.212045,0.428842,422.24281,blues
6058,Eternamente Amame,Miguel Gallardo,0.212045,0.326517,267.38893,rock
6123,Openbare Weg,Mira,0.212045,0.279829,280.55465,blues
6230,Blue Taxi,Morel,0.212045,0.442697,52.87138,soundtrack
6286,Ota kiinni,Murskahumppa,0.212045,0.289597,351.65995,pop
6333,Next Time,Nadine Renee,0.212045,0.389877,232.14975,folk
6377,How Can You Call That Beautiful (Stewkey Vocal),Nazz,0.212045,0.373822,208.03873,rap
6448,She Fell Away (2009 Digital Remaster),Nick Cave & The Bad Seeds,0.212045,0.378387,91.21914,pop
6500,Metal,Nine Inch Nails,0.212045,0.386427,355.39546,pop
6522,Stickin In My Eye,NOFX,0.212045,0.313867,233.03791,pop
6614,Hate,Organized Konfusion,0.212045,0.382546,150.17751,blues
6888,Spooks In Space,Perrey And Kingsley,0.212045,0.333015,99.97016,classical
7104,I Never Came,Queens Of The Stone Age,0.212045,0.356835,267.88526,hip-hop
7270,WKYA (drop),Redman,0.212045,0.379223,268.25098,pop
7316,I See The Boys Of Summer,Richard Burton,0.212045,0.405597,129.12281,rock
7495,Three Is a Crowd,Rory Block,0.212045,0.358435,302.2624,rock
7653,You Can Still Be Free,Savage Garden,0.212045,0.415442,270.36689,hip-hop
7667,Grim Prospects (Gross Prospects - Bad Trip Remix),Schizoid,0.212045,0.119888,203.02322,pop
7974,Indian Love Call,Slim Whitman,0.212045,0.405597,338.442,hip-hop
7997,Complicate It,Smartbomb,0.212045,0.348,249.93914,folk
8033,Entre CanAbales,Soda Stereo,0.212045,0.361992,272.14322,pop
8053,TerA$?slintu,Solistiyhtye Suomi,0.212045,0.383845,156.39465,pop
8070,A Distant Voice,Sonny Simmons,0.212045,0.25541,216.58077,pop
8239,Crossfire,Stevie Ray Vaughan,0.212045,0.340385,182.72608,bass
8284,Monde De Fou,Suburbs,0.212045,0.288732,164.64934,folk
8345,Stream,Suzanne Ciani,0.212045,0.187213,134.97424,classical
8380,You Feel Good All Over,T.G. Sheppard,0.212045,0.276452,331.88526,folk
8437,I Will Love Again (JJ's Club Radio),Taras,0.212045,0.313867,267.31057,pop
8556,Deform (live),The Berzerker,0.212045,0.461023,243.98322,country
8578,Lead Me Lord,The Brooklyn Tabernacle Choir,0.212045,0.37772,291.91791,blues
8678,Wake,The Dirty Skirts,0.212045,0.420274,295.96689,blues
8759,Forming,The Germs,0.212045,0.373012,217.02485,classical
8939,Human Being,The New York Dolls,0.212045,0.437965,212.13995,classical
9431,Cheatin' In The Next Room,Tyrone Davis,0.212045,0.342652,262.19057,rap
9528,Panama (Remastered Album Version),Van Halen,0.212045,0.350804,297.66485,pop
9576,Make Me Over,Vickie Winans,0.212045,0.412116,262.94812,classical
9593,Choro,Vince Guaraldi / Bola Sete,0.212045,0.316725,261.642,blues
9717,Where The Thunder Roars (Tales Of Wonder Album Version),White Heart,0.212045,0.371935,377.62567,pop
9820,Sudanese Dance,Xcultures,0.212045,0.31998,229.53751,pop
9856,MafuA!,Yamandu Costa,0.212045,0.291271,499.51302,classical
9329,I Want Love (Tween You & Me) (Album Version),Tony Joe White,0.212167,0.360961,298.762,pop
9797,White Feather,Wolfmother,0.212829,0.31264,285.88363,hip-hop
9034,Christlike Roche,The Roches,0.214253,0.266275,38.3473,pop
1124,You Rascal You,Bob Margolin,0.214864,0.399186,118.38649,rock
21,It Goes On,20/20,0.21508,0.421449,233.50812,blues
25,Relax,2-4 Grooves feat. Reki D.,0.21508,0.33275,198.5824,folk
99,Beyond the Light,Aberdeen,0.21508,0.212531,193.56689,blues
165,I Need You Now,Agnes,0.21508,0.319183,201.92608,rock
366,Kako mi je pitas sad,Ana Bekuta,0.21508,0.512456,253.67465,punk
436,Taryns Deepest Fear,Angelo Badalamenti,0.21508,0.409245,221.28281,folk
738,End Of The Road (Head Hornys Remix),Bandido,0.21508,0.460875,415.50322,hip-hop
759,Naked Albino,Bare Jr.,0.21508,0.297186,397.76608,folk
809,Inolvidable,Bebo & Cigala,0.21508,0.479765,222.22322,blues
1019,Miracle,Bizarre Inc,0.21508,0.292968,254.35383,blues
1134,Biding Her Time,Bob Neuwirth,0.21508,0.566912,113.97179,classical
1206,Never Forget Me,Bone Thugs-N-Harmony / Akon,0.21508,0.358501,60.55138,rap
1212,Witch Weed (Live),Bongzilla,0.21508,0.463118,248.78975,blues
1218,Get Back Down,Boogie Pimps,0.21508,0.361918,190.69342,blues
1253,One Less Bell To Answer,Brazilian Tropical Orchestra,0.21508,0.496224,212.37506,country
1273,Battle Of The Rosebud / Cries,Brian Keane,0.21508,0.351676,473.49506,blues
1294,Hanging On (Medium Key Performance Track Without Background Vocals),Britt Nicole,0.21508,0.422507,182.33424,country
1296,7 Miles,Brixx,0.21508,0.358424,279.90159,blues
1341,Robbers Kill Cop,BT,0.21508,0.405597,188.89098,folk
1394,Iskorosten' (instr.),Butterfly Temple,0.21508,0.514206,219.76771,blues
1407,I Wish My Mother Was Here,Byther Smith,0.21508,0.354385,197.04118,punk
1460,In This Life,Cama,0.21508,0.454542,189.36118,classical
1717,Forever,Chris Brown,0.21508,0.443099,430.65424,pop
1933,Summer Dying Fast,Cradle Of Filth,0.21508,0.458697,170.1873,hip-hop
2016,Perasmena Mesanihta,Dakis,0.21508,0.461558,242.28526,pop
2059,New Age,Daniela DessA!,0.21508,0.337199,200.51546,pop
2275,Sun Is Shining,Deekline & Wizard,0.21508,0.284232,231.00036,pop
2345,Orgofart,Descendents,0.21508,0.354472,146.57261,folk
2368,Simon's Folly,Dharma Bums,0.21508,0.389257,461.11302,bass
2387,Cooler Than You,Diesel Boy,0.21508,0.409245,215.30077,folk
2399,Master Of Disharmony,Dimmu Borgir,0.21508,0.451571,482.21995,pop
2431,Gerra De De,DJ Dips,0.21508,0.462964,525.47873,punk
2468,Born and Raised In Compton,DJ Quik,0.21508,0.394345,274.46812,pop
2517,Fire (Oscar G Space Vocal Mix),Dolce; Oscar G.,0.21508,0.543226,211.40853,country
2522,Letter To Heaven,Dolly Parton,0.21508,0.350454,265.37751,pop
2663,No Control,Eddie,0.21508,0.481339,219.402,pop
2846,The Vitalized Shell,Enthroned,0.21508,0.440326,180.81914,pop
3074,Jogo Limpo,FlA!vio JosA(c),0.21508,0.335548,293.43302,blues
3116,Hell,Foo Fighters,0.21508,0.496351,267.65016,classical
3321,The Look Of Love,Gary Hobbs,0.21508,0.492781,322.11546,folk
3327,What Are We Here For,Gary Moore,0.21508,0.405031,261.72036,pop
3422,Festa,Gil Semedo,0.21508,0.496224,183.06567,country
3470,Pulecenella 'e mA2,Gloriana,0.21508,0.476803,490.86649,blues
3534,Big Stax/High Volts (Album Version),Grant Geissman,0.21508,0.382976,333.37424,blues
3644,We're Gonna Go Fishin',Hank Locklin,0.21508,0.363943,415.45098,pop
3738,Have Yourself A Merry Little Christmas,Hem,0.21508,0.390829,171.4673,pop
4057,Atmosphere Station,James Horner,0.21508,0.451999,232.59383,rock
4063,Cowboy Ways,James Hunter,0.21508,0.339,191.73832,classical
4140,Voices On The Corner,Jason Miles,0.21508,0.359064,261.53751,punk
4176,Me And My Buddy,blues Gillum,0.21508,0.35926,227.76118,rock
4311,Still,Jim Chappell,0.21508,0.512197,445.49179,hip-hop
4593,Lend Me Your Chopper,Johnny Osbourne,0.21508,0.352871,521.9522,pop
4634,Pecado De Amor,JosA(c) Augusto,0.21508,0.45223,285.85751,rap
4740,They Say (Album),Jupiter Rising,0.21508,0.434697,136.77669,bass
4924,Bulgarian Dream,Kiril Valeri,0.21508,0.38629,192.15628,pop
4997,Hey Daddy,Korn,0.21508,0.367071,199.88853,rock
5066,Bitch Is Back,L.A. Guns,0.21508,0.249112,186.09587,folk
5094,Snapshot,Ladybug,0.21508,0.24391,178.96444,hip-hop
5136,Ernesto Nazareth,Laurindo Almeida / Carlos Barbosa-Lima / Charlie Byrd,0.21508,0.484877,235.36281,blues
5171,Stone Cold Fingers (Bonus Track),Leland Martin,0.21508,0.427914,326.42567,blues
5294,U Killed It,Lily Allen,0.21508,0.308303,78.91546,pop
5348,Loco (Crazy),Little Joe,0.21508,0.2516,189.43955,rock
5617,Going Down Slow,Mance Lipscomb,0.21508,0.406583,131.36934,blues
5820,More And More  (LP Version),Marvin Sapp,0.21508,0.332867,125.36118,classical
5843,Shadows That Move,Mastodon,0.21508,0.443876,249.46893,rock
5844,The Czar: Usurper/Escape/Martyr/Spiral (Album Version),Mastodon,0.21508,0.299705,205.50485,pop
5882,Groovin' In The Midnight,Maxi Priest,0.21508,0.449254,434.49424,classical
6087,Ciao Milan,Milan Band,0.21508,0.473637,424.22812,pop
6132,Kolomeyke,Mish Mash,0.21508,0.454542,189.85751,classical
6218,Ukkosenjumalan poika,Moonsorrow,0.21508,0.418193,508.3424,rock
6236,Silent Hill,Moss,0.21508,0.345174,586.29179,blues
6329,A B***** Is A B***** (Edited),N.W.A.,0.21508,0.508558,265.97832,rock
6357,Take A Look  (LP Version),Natalie Cole,0.21508,0.374449,303.04608,pop
6403,Brasas Vivas,Nelson Ned,0.21508,0.437736,194.61179,classical
6503,The Frail,Nine Inch Nails,0.21508,0.358424,193.35791,blues
6532,Dearly Beloved,Norrie Paramor,0.21508,0.480725,180.00934,folk
6607,Illuminate,Orbital,0.21508,0.363178,193.4624,rap
6741,Une petite pause,Pascal Sangla,0.21508,0.298448,248.08444,pop
6815,Inside Job,Pearl Jam,0.21508,0.374449,367.41179,pop
6857,Rain And Snow,Pentangle,0.21508,0.308303,48.63955,pop
6887,Gossippo Perpetuo,Perrey And Kingsley,0.21508,0.440326,207.12444,pop
6893,Our Love Is Here To Stay,Pery Ribeiro,0.21508,0.432804,231.47057,pop
7029,Waiting,Porcupine Tree,0.21508,0.132946,254.17098,classical
7150,Kick Out The Jams,Rage Against The Machine,0.21508,0.35926,283.79383,rock
7151,A'chek Ouyounik (2009 Digital Remaster),Ragheb Alama,0.21508,0.372776,225.14893,classical
7181,Heaven is Where The Heart Is,Rance Allen Group,0.21508,0.350454,321.30567,pop
7246,Drunk Alone,React,0.21508,0.495307,291.57832,blues
7378,Amber Changing,Rise Against,0.21508,0.372404,299.75465,rock
7398,I Got Over It (Album Version),Robben Ford,0.21508,0.462515,256.39138,country
7564,The Cube (Live),S.U.P,0.21508,0.429354,221.23057,blues
7570,Crawl Before You Ball (Album Version),Saafir,0.21508,0.405597,337.24036,bass
7669,Grim Prospects (Version 2 Remix),Schizoid,0.21508,0.481339,201.97832,pop
7689,All Rise,Scott Wesley Brown,0.21508,0.325305,277.21098,blues
7769,God Save the Queen (Live),Sex Pistols,0.21508,0.461558,354.19383,pop
7795,Hips Don't Lie (featuring Wyclef Jean),Shakira Featuring Wyclef Jean,0.21508,0.497305,223.89506,country
7825,Johnny Loves Me (LP Version),Shelley Fabares,0.21508,0.311679,299.93751,folk
7914,4 Sea Interludes Op. 33a: Storm,Sir Neville Marriner,0.21508,0.308625,36.54485,rock
8035,Te Hacen Falta Vitaminas,Soda Stereo,0.21508,0.354593,244.92363,country
8109,Everything Changes,Soular,0.21508,0.405597,253.85751,pop
8342,Para Milladoiro,Susana Seivane,0.21508,0.310545,163.52608,blues
8344,Mozart,Suzanne Ciani,0.21508,0.524477,231.18322,pop
8354,2190 Dias Contigo,Sven Tasnadi,0.21508,0.440326,230.53016,pop
8355,Charisma,Sven Tasnadi,0.21508,0.410247,124.96934,blues
8434,Walk Away,Tantric,0.21508,0.453371,193.07057,rock
8497,Snowball,Test Icicles,0.21508,0.427914,201.22077,blues
8543,Juoksuhauta-twist (ElA$?mA$? juoksuhaudoissa),The Avengers,0.21508,0.628246,198.42567,country
8546,Wig,The B-52's,0.21508,0.298448,244.92363,pop
8769,Not Buried Deep Enough,The Gone Jackals,0.21508,0.468605,197.56363,blues
8808,Mountains Of Mourne,The Irish Tenors,0.21508,0.580095,75.57179,rock
8844,Sweet By And By,The Jordanaires,0.21508,0.478491,397.08689,folk
8857,Spaceman,The Killers,0.21508,0.332871,148.47955,blues
9143,Medicate Myself,The Verve Pipe,0.21508,0.405597,308.81914,bass
9159,Give Me 40 Acres (To Turn This Rig Around),The Willis Brothers,0.21508,0.359186,246.5171,blues
9192,Sympathy,Thomas Battenstein,0.21508,0.335042,284.682,bass
9324,Christmas In Jamaica,Toni Braxton Featuring Shaggy,0.21508,0.481339,213.10649,pop
9447,Kite Live from Sydney,U2,0.21508,0.564006,267.57179,rock
9470,Murder Academy,Ultraviolence,0.21508,0.531399,57.44281,rock
9800,Amalgama,Word,0.21508,0.236434,352.02567,pop
9819,Smile,Xcultures,0.21508,0.383819,278.96118,rock
9828,Sense And Trick,Xmilk,0.21508,0.543226,187.53261,country
4996,Ever Be,Korn,0.217726,0.331373,201.92608,folk
1060,Oh Look Misery,Blind Blake & The Royal Victoria Hotel Calypsos,0.219482,0.191194,325.25016,rock
6872,Yesterdays,Percy Faith,0.219529,0.380495,221.77914,pop
2943,Teacher's Pet,Extreme,0.219907,0.395314,192.10404,rock
276,Palmer enquAate,Alexandre Desplat,0.220967,0.282221,246.96118,rock
2313,Infidel,Delta 9,0.221549,0.365076,276.37506,punk
4265,Moon River - Original,Jerry Butler,0.221549,0.580013,257.48853,pop
6983,English Summer Rain,Placebo,0.221549,0.307505,87.14404,rock
7066,Go To Hell,Prozak,0.221549,0.356796,307.80036,blues
9893,La Plus Bath Des Javas,Yvette Horner,0.221549,0.580013,279.74485,pop
8414,Spanish Shuffle (Album Version),Tam Tam Go!,0.221756,0.53443,254.09261,rap
3409,Intro,Gertrudis,0.222587,0.344814,265.1424,hip-hop
9669,Empress So Divine,Warrior King,0.223238,0.283367,464.5873,blues
8036,Terapia De Amor Intensiva,Soda Stereo,0.223736,0.345016,182.22975,rap
5398,Haunting,LORE,0.224243,0.333196,214.7522,rock
8099,Lies Of Hate,Soul Asylum,0.224314,0.41316,535.69261,blues
1517,The First Noel,Carl Doy with NZSO,0.224491,0.35246,260.80608,pop
3792,Musical Episode,Horace Andy,0.224832,0.405597,177.00526,blues
4373,Beautiful Brown eyes,Jimmy Wakely,0.225045,0.299935,268.87791,blues
8943,Drop the Bass,The Nightraver & The Magican,0.225096,0.329362,474.06975,blues
7155,The Last Word (Amended Version),Rah Digga (Featuring Outsidaz),0.225768,0.412611,198.86975,classical
7539,Hard Times,RUN-DMC,0.22594,0.359291,256.62649,rock
889,Just As Much As Ever,Bert Kaempfert And His Orchestra,0.226555,0.481656,228.46649,rock
3640,Filipino Baby,Hank Locklin,0.226696,0.405597,150.49098,blues
5088,The Boss,Lady May,0.226895,0.247613,390.32118,rock
6489,Escapist,Nightwish,0.227017,0.186396,273.55383,pop
434,Jeffrey's Dark Side,Angelo Badalamenti,0.22733,0.299393,290.16771,rock
3166,Someone to Watch Over Me,Frank Chacksfield,0.227975,0.442925,247.14404,rock
1608,Milagre Dos Peixes/ Musica Incidental: Cais/ Music Incidental: San Vicente,Cesar Camargo Mariano/Helio Delmiro,0.228096,0.572028,235.17995,rap
1404,Pinned To The Ground (album version),Buzzhorn,0.228214,0.572028,174.65424,rap
7870,Always And Never (Album Version),Silverstein,0.228474,0.53443,274.78159,rap
995,Estate,Billy Higgins_ Bob Berg_ Cedar Walton_ Tony Dumas,0.229144,0.305719,291.13424,pop
1509,Love's Been Good To Me,Carl Belew,0.229144,0.493711,157.12608,country
1535,Quiero Ir Ao Mar,Carlos NuA+-ez,0.229144,0.345867,233.63873,rock
1586,Freedom Enough (From Silent Mother Nature),Catherine Howe,0.229144,0.370096,220.15955,folk
2250,Until You Love Someone,Dean Martin,0.229144,0.229738,487.33995,blues
3350,Set You Free This Time,Gene Clark,0.229144,0.12401,139.91138,rock
3863,The Owl and the Pussy-cat,Igor Stravinsky,0.229144,0.249454,140.59057,rock
4054,Hello Young Lovers (LP Version),James Darren,0.229144,0.407925,270.99383,blues
5149,Poor Tom (Album Version),Led Zeppelin,0.229144,0.340276,257.93261,classical
5612,Hai Shava,Malkit Singh,0.229144,0.480725,273.81506,folk
7442,Nutty Block,Rodney O & Joe Cooley,0.229144,0.317543,150.80444,folk
7617,Wounded Hearts,Sandi Thom,0.229144,0.427817,276.21832,classical
8268,Part One From Triomusic,Strata,0.229144,0.37218,148.24444,blues
8716,When Morning Comes To Town,The Field Mice,0.229144,0.405597,60.70812,pop
8944,Who Shot Ya (Amended Album Version),The Notorious B.I.G.,0.229144,0.405597,257.95873,bass
9061,Carpe PM,The Secret Life of Teenage Girls,0.229144,0.355009,489.58649,bass
9219,Same Man,Till West & DJ Delicious,0.229144,0.249137,52.45342,blues
5894,Bloco Da Solidao (1996 Digital Remaster),Maysa,0.229799,0.370748,189.88363,folk
9075,Will You Love Me Tomorrow,The Shirelles,0.230627,0.317753,291.02975,country
8530,Stille nacht_ heilige nacht,The American Boychoir,0.231488,0.193294,281.80853,pop
4181,Nine Ways,JDS,0.231528,0.367409,236.66893,blues
6708,Northern Downpour (Album Version),Panic At The Disco,0.231585,0.529196,180.1922,country
4085,Bad Seed,Jan Howard,0.232167,0.310921,338.28526,country
105,Exchange,Abraham Laboriel,0.232215,0.398406,167.00036,pop
5962,Marie D'Aquitaine,"MichA""le Arnaud",0.232941,0.484877,205.66159,blues
8255,Oh My God,Sticky Fingaz,0.233166,0.384598,154.30485,classical
2031,Joy To The World,Dame Joan Sutherland / New Philharmonia Orchestra / Richard Bonynge,0.233245,0.333585,324.98893,rock
8831,Hoochie Coochie Man,The Jeff Healey Band,0.233499,0.300383,294.24281,blues
426,Ftei O Erotas,Angela Dimitriou,0.233602,0.318536,110.15791,blues
2081,The Second Summer Of Love,Danny Wilson,0.233655,0.583147,202.13506,rock
5320,Prelude And Fugue In C Major BWV 531 : Fugue,Lionel Rogg,0.233763,0.334415,333.322,blues
4148,Don't Phunk With My Heart,Java,0.233796,0.326849,126.51057,blues
8358,Give It What U Got,SWAMI featuring Asuivre,0.233807,0.41461,224.54812,pop
8567,Dancing To A Standstill,The Black Velvet Band,0.233847,0.383524,216.37179,classical
5333,Isla del Luna,Lisa Lynne,0.233896,0.406582,307.69587,folk
6914,Spirit,Pe'z,0.234016,0.387225,202.91873,country
7814,Another Long One,Shawn Colvin,0.234915,0.38347,352.33914,rock
8200,Leng Jing,Stephy Tang,0.234995,0.568201,232.202,pop
1583,OAKtown,Casual,0.235029,0.468247,260.91057,pop
700,Larger Than Life,Backstreet Boys,0.235252,0.312127,235.07546,rock
9256,I Hold Your Hand In Mine [Live At Royal Albert Hall],Tiny Tim,0.23528,0.318536,186.61832,blues
4864,Baby Come To Me,Kenny G featuring Daryl Hall,0.235396,0.233048,405.52444,pop
1767,Den Pai Alo,Christos Dantis,0.235615,0.351561,92.70812,blues
2194,It Wont Be Christmas,David Martin,0.235714,0.299113,168.12363,rock
4485,Knocked Out Of The Park,John Davis,0.235846,0.276703,244.45342,hip-hop
9363,Salt In NYC,Trafik,0.236213,0.232825,285.28281,rock
2668,Erica (2005 Digital Remaster),Eddie Calvert,0.236216,0.309919,169.82159,folk
6462,Wessex Loses a Bride,Nick Ingman;Gavyn Wright,0.236216,0.309919,189.57016,folk
3438,Blessed Assurance,Glad,0.23642,0.544446,204.06812,country
8177,Loaded Like A Gun,Steel Rain,0.236444,0.37694,177.31873,blues
5459,Rumba De Barcelona,Los Manolos,0.236673,0.383678,228.10077,folk
3469,"Clementina SantafA""",Gloriana,0.236772,0.322483,234.03057,pop
1191,Wild Rose (Back 2 Basics Mix),Bombay Rockers,0.236956,0.347599,117.75955,country
4388,Kutt Free (DJ Volume Remix),Jinx,0.237211,0.323957,245.99465,folk
1686,Ten Tonne,Chase & Status,0.237361,0.405749,223.92118,pop
9295,A Higher Place (Album Version),Tom Petty,0.237381,0.341259,46.00118,blues
6208,Sono andati? Fingevo di dormire,Montserrat CaballA(c);Placido Domingo;Vicente Sardinero;Judith Blegen;Sherrill Milnes;Georg Solti,0.237408,0.509243,257.14893,rock
7073,Got My Mojo Workin,Pucho & His Latin Soul Brothers,0.237527,0.312127,235.4673,rock
8107,Get Your Head Stuck On Your Neck,Soul Mekanik,0.237554,0.346798,167.65342,rock
6154,Jenny Take a Ride,Mitch Ryder,0.237567,0.399432,275.19955,blues
1084,Sonnerie lalaleulA(c) hi houuu,Blingtones,0.237578,0.407539,128.1824,bass
5527,Midnight Star,Luna Orbit Project,0.237734,0.363668,161.38404,rap
2063,Native Soul,Danilo Perez,0.237771,0.35241,168.4371,rock
5300,Der Kleine Dompfaff,Line Renaud,0.237846,0.553596,101.14567,rock
4896,A Whiter Shade Of Pale (Live @ Fillmore West),King Curtis,0.238345,0.520408,183.14404,rap
8091,The Ballad Of Sleeping Beauty,Sophie B. Hawkins,0.23838,0.41741,217.83465,country
5531,Streets On Fire (Explicit Album Version),Lupe Fiasco,0.238718,0.326849,198.84363,blues
5659,City Slickers,Marc Shaiman,0.239063,0.298012,158.56281,blues
9736,Music is what we love,Wilks,0.239063,0.298012,239.64689,blues
51,Intro,40 Grit,0.239146,0.409779,249.93914,classical
3605,Harajuku Girls,Gwen Stefani,0.239321,0.375653,102.13832,classical
8220,Prognosis,Steve Morse,0.239517,0.353156,294.53016,blues
1016,Living Hell,Bitter End,0.239578,0.23417,257.59302,rock
